Date,Affected pages
2026-05-22,9
2026-05-23,9
2026-05-24,9
2026-05-25,9
2026-05-26,11
2026-05-27,11
2026-05-28,11
2026-05-29,11
2026-05-30,11
2026-05-31,11
2026-06-01,11
2026-06-02,12
2026-06-03,12
2026-06-04,12
2026-06-05,12
2026-06-06,12
2026-06-07,12
2026-06-08,12
2026-06-09,12
2026-06-10,12
2026-06-11,12
2026-06-12,12
2026-06-13,12
2026-06-14,12
2026-06-15,12
2026-06-16,12
2026-06-17,12
2026-06-18,12
2026-06-19,12
2026-06-20,12
2026-06-21,12
2026-06-22,12
2026-06-23,12
2026-06-24,12
2026-06-25,12
2026-06-26,12
2026-06-27,12
2026-06-28,12
2026-06-29,12
2026-06-30,12
2026-07-01,12
2026-07-02,12
2026-07-03,12
2026-07-04,12
2026-07-05,12
2026-07-06,12
2026-07-07,12
2026-07-08,12
2026-07-09,12
2026-07-10,12
2026-07-11,12
2026-07-12,12
2026-07-13,12
2026-07-14,12
2026-07-15,12
2026-07-16,12
2026-07-17,12
2026-07-18,12
2026-07-19,12
2026-07-20,12
2026-07-21,12
2026-07-22,12
2026-07-23,12
2026-07-24,12
2026-07-25,12
2026-07-26,12
2026-07-27,12
2026-07-28,12
2026-07-29,12
2026-07-30,12
2026-07-31,12
2026-08-01,12
2026-08-02,12
2026-08-03,12
2026-08-04,12
2026-08-05,12
2026-08-06,12
2026-08-07,12
2026-08-08,12
2026-08-09,12
2026-08-10,12
2026-08-11,12
2026-08-12,12
2026-08-13,12
2026-08-14,12
